round,burn_R,emission_R+1,credit_supply,alice_reward,bob_reward,alice_apr_bps,bob_apr_bps
0,0,383333333333333333333334,70399999999999999999999999,231808278867102396540817,168191721132897603459182,1506753,2186492
1,200000000000000000000000,366666666666666666666668,70583333333333333333333333,222149600580973130018283,161183732752360203315050,1475363,2140940
2,387500000000000000000000,368124999999999999999999,70562500000000000000000001,212490922294843863495750,154175744371822803170917,1443972,2095388
3,575000000000000000000000,546249999999999999999999,70355625000000000000000000,213336056644880174316470,154788943355119825683528,1429650,2074605
4,762500000000000000000000,724374999999999999999999,70139374999999999999999999,316563180827886710276053,229686819172113289723945,1567377,2274464
5,10000000000000000000000000,300000000000000000000004,70863749999999999999999997,419790305010893246235636,304584694989106753764362,1888543,2740517
6,950000000000000000000000,902500000000000000000000,70213750000000000000000000,173856209150326797405615,126143790849673202594388,1825761,2649413
7,950000000000000000000000,902500000000000000000000,70166249999999999999999999,523017429193899782195219,379482570806100217804780,2328994,3379668
8,950000000000000000000000,902500000000000000000000,70118749999999999999999998,523017429193899782195219,379482570806100217804780,2664482,3866504
9,950000000000000000000000,902500000000000000000000,70071249999999999999999997,523017429193899782195219,379482570806100217804780,2832226,4109922
10,950000000000000000000000,902500000000000000000000,70023749999999999999999996,523017429193899782195219,379482570806100217804780,3399613,4933273
11,950000000000000000000000,902500000000000000000000,69976249999999999999999995,523017429193899782195219,379482570806100217804780,3399613,4933273
12,950000000000000000000000,902500000000000000000000,69928749999999999999999994,523017429193899782195219,379482570806100217804780,3399613,4933273
13,950000000000000000000000,902500000000000000000000,69881249999999999999999993,523017429193899782195219,379482570806100217804780,3399613,4933273
14,950000000000000000000000,902500000000000000000000,69833749999999999999999992,523017429193899782195219,379482570806100217804780,3399613,4933273
15,950000000000000000000000,902500000000000000000000,69786249999999999999999991,523017429193899782195219,379482570806100217804780,3399613,4933273
16,950000000000000000000000,902500000000000000000000,69738749999999999999999990,523017429193899782195219,379482570806100217804780,3399613,4933273
17,950000000000000000000000,902500000000000000000000,69691249999999999999999989,523017429193899782195219,379482570806100217804780,3399613,4933273
18,950000000000000000000000,902500000000000000000000,69643749999999999999999988,523017429193899782195219,379482570806100217804780,3399613,4933273
19,950000000000000000000000,902500000000000000000000,69596249999999999999999987,523017429193899782195219,379482570806100217804780,3399613,4933273
20,950000000000000000000000,902500000000000000000000,69548749999999999999999986,523017429193899782195219,379482570806100217804780,3399613,4933273
21,950000000000000000000000,902500000000000000000000,69501249999999999999999985,523017429193899782195219,379482570806100217804780,3399613,4933273
22,950000000000000000000000,902500000000000000000000,69453749999999999999999984,523017429193899782195219,379482570806100217804780,3399613,4933273
23,950000000000000000000000,902500000000000000000000,69406249999999999999999983,523017429193899782195219,379482570806100217804780,3399613,4933273
24,950000000000000000000000,902500000000000000000000,69358749999999999999999982,523017429193899782195219,379482570806100217804780,3399613,4933273
25,950000000000000000000000,902500000000000000000000,69311249999999999999999981,523017429193899782195219,379482570806100217804780,3399613,4933273
26,950000000000000000000000,902500000000000000000000,69263749999999999999999980,523017429193899782195219,379482570806100217804780,3399613,4933273
27,950000000000000000000000,902500000000000000000000,69216249999999999999999979,523017429193899782195219,379482570806100217804780,3399613,4933273
28,950000000000000000000000,902500000000000000000000,69168749999999999999999978,523017429193899782195219,379482570806100217804780,3399613,4933273
29,950000000000000000000000,902500000000000000000000,69121249999999999999999977,523017429193899782195219,379482570806100217804780,3399613,4933273
30,950000000000000000000000,902500000000000000000000,69073749999999999999999976,523017429193899782195219,379482570806100217804780,3399613,4933273
31,950000000000000000000000,902500000000000000000000,69026249999999999999999975,523017429193899782195219,379482570806100217804780,3399613,4933273
32,950000000000000000000000,902500000000000000000000,68978749999999999999999974,523017429193899782195219,379482570806100217804780,3399613,4933273
33,950000000000000000000000,902500000000000000000000,68931249999999999999999973,523017429193899782195219,379482570806100217804780,3399613,4933273
